country,fips,city,source,2005,2006,2007,2008,2009,2010,2011,2012
Poland,PL,Warsaw,CTS,2.2,2.1,2.2,1.5,2.0,1.6,2.1,0.0
Portugal,PO,Lisbon,CTS,0.7,0.8,0.6,0.4,0.2,0.3,0.2,0.6
Qatar,QA,Doha,CTS,0.0,0.0,1.3,1.1,0.0,0.0,0.0,0.0
Republic of Korea,KS,Seoul,CTS,0.0,1.9,2.1,2.1,2.4,2.8,0.8,0.0
Republic of Moldova,MD,Chishinau,CTS,7.3,7.2,6.5,4.6,5.5,5.3,4.4,5.2
Romania,RO,Bucharest,CTS,1.4,1.3,1.1,0.9,1.0,1.1,0.9,1.1
Russian Federation,RS,Moscow,CTS,7.1,7.0,5.7,5.6,4.2,4.2,3.8,0.0
Saint Kitts and Nevis,SC,Basseterre,National police/CTS,32.5,25.6,50.6,50.0,73.2,35.5,131.6,0.0
Sao Tome and Principe,TP,Sao Tome,CTS,0.0,3.6,3.6,3.6,5.3,0.0,0.0,0.0
Serbia,RB,Belgrade,CTS,3.0,3.1,3.1,2.5,1.5,1.4,2.2,1.3
Sierra Leone,SL,Freetown,CTS,0.0,0.0,5.8,8.0,0.0,0.0,0.0,0.0
Singapore,SN,Singapore,CTS,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2
Slovakia,LO,Bratislava,CTS,2.6,3.5,3.8,2.3,2.1,1.9,3.2,2.9
Slovenia,SI,Ljubljana,CTS,1.5,0.4,1.1,0.0,0.4,1.1,1.4,0.7
Solomon Islands,BP,Honiara City,CTS,5.2,20.8,33.0,19.1,0.0,0.0,0.0,0.0
South Africa,SF,Cape Town,National police,55.4,61.0,59.9,0.0,0.0,0.0,0.0,0.0
South Sudan,SU,Juba,UN-PKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Spain,SP,Madrid,CTS,1.1,1.2,1.1,1.2,1.0,0.9,0.6,0.9
Sri Lanka,CE,Colombo,National police,0.0,2.6,2.2,2.2,1.2,0.0,0.0,0.0
State of Palestine,GZ&WE,Hebron,CTS,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,SU,Khartoum,CTS,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
